tf,name,monat,quelle,pruefung,xml,csv,diff,status,hinweis
TF07,Burri Heidi,2024-11,RETRO,AHV-Basis (AHV-AVS-BaseSalary),8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,UVG-Basis (UVG-LAA-BaseSalary),8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-11,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),640.0,640.0,0.0,OK,
TF14,Egli Anna,2024-11,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),2281.65,2281.65,0.0,OK,
TF14,Egli Anna,2024-11,RETRO,UVG-Basis (UVG-LAA-BaseSalary),2281.65,2281.65,0.0,OK,
TF14,Egli Anna,2024-11,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),2281.65,2281.65,0.0,OK,
TF14,Egli Anna,2024-11,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),2281.65,2281.65,0.0,OK,
TF14,Egli Anna,2024-11,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",2281.65,2281.65,0.0,OK,
